other_constraints_tomato_production,other_constraints_for_tomato_prod,level_of_severity_tomato_production,PARENT_KEY,KEY
Red_spider_mite,,Medium,uuid:be7f2dc9-92e8-4c1c-8ad0-aadc102306dd/sclamp/Season_Information[2],uuid:be7f2dc9-92e8-4c1c-8ad0-aadc102306dd/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
Leaf_eaters,,Medium,uuid:be7f2dc9-92e8-4c1c-8ad0-aadc102306dd/sclamp/Season_Information[2],uuid:be7f2dc9-92e8-4c1c-8ad0-aadc102306dd/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
Thrips_Western_flower_thrips,,Medium,uuid:be7f2dc9-92e8-4c1c-8ad0-aadc102306dd/sclamp/Season_Information[2],uuid:be7f2dc9-92e8-4c1c-8ad0-aadc102306dd/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
Plant_diseases,,Medium,uuid:69c66396-ea65-462d-8df2-63d9d238b7e1/sclamp/Season_Information[2],uuid:69c66396-ea65-462d-8df2-63d9d238b7e1/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
Other_leaf_miners_Lirimyza_species,,Medium,uuid:69c66396-ea65-462d-8df2-63d9d238b7e1/sclamp/Season_Information[2],uuid:69c66396-ea65-462d-8df2-63d9d238b7e1/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
Red_spider_mite,,Medium,uuid:69c66396-ea65-462d-8df2-63d9d238b7e1/sclamp/Season_Information[2],uuid:69c66396-ea65-462d-8df2-63d9d238b7e1/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
Leaf_eaters,,Low,uuid:b26de55c-1a49-45fc-b703-8d291edd17aa/sclamp/Season_Information[2],uuid:b26de55c-1a49-45fc-b703-8d291edd17aa/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:b26de55c-1a49-45fc-b703-8d291edd17aa/sclamp/Season_Information[2],uuid:b26de55c-1a49-45fc-b703-8d291edd17aa/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:b26de55c-1a49-45fc-b703-8d291edd17aa/sclamp/Season_Information[2],uuid:b26de55c-1a49-45fc-b703-8d291edd17aa/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
Shortage_of_rain,,Medium,uuid:89a2a445-504b-4296-8eb0-ac27c524d322/sclamp/Season_Information[2],uuid:89a2a445-504b-4296-8eb0-ac27c524d322/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
Red_spider_mite,,Medium,uuid:89a2a445-504b-4296-8eb0-ac27c524d322/sclamp/Season_Information[2],uuid:89a2a445-504b-4296-8eb0-ac27c524d322/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:89a2a445-504b-4296-8eb0-ac27c524d322/sclamp/Season_Information[2],uuid:89a2a445-504b-4296-8eb0-ac27c524d322/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
White_flies,,Medium,uuid:a8a364b1-d574-4c41-b092-48137c5b25f9/sclamp/Season_Information[2],uuid:a8a364b1-d574-4c41-b092-48137c5b25f9/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
Leaf_eaters,,Medium,uuid:a8a364b1-d574-4c41-b092-48137c5b25f9/sclamp/Season_Information[2],uuid:a8a364b1-d574-4c41-b092-48137c5b25f9/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
Shortage_of_rain,,Medium,uuid:a8a364b1-d574-4c41-b092-48137c5b25f9/sclamp/Season_Information[2],uuid:a8a364b1-d574-4c41-b092-48137c5b25f9/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
None,,,uuid:52c79a6f-0990-4b4f-8f46-5cda95f16c7a/sclamp/Season_Information[2],uuid:52c79a6f-0990-4b4f-8f46-5cda95f16c7a/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:52c79a6f-0990-4b4f-8f46-5cda95f16c7a/sclamp/Season_Information[2],uuid:52c79a6f-0990-4b4f-8f46-5cda95f16c7a/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:52c79a6f-0990-4b4f-8f46-5cda95f16c7a/sclamp/Season_Information[2],uuid:52c79a6f-0990-4b4f-8f46-5cda95f16c7a/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
None,,,uuid:9174282f-f492-403f-a863-2a932c9b1a47/sclamp/Season_Information[2],uuid:9174282f-f492-403f-a863-2a932c9b1a47/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:9174282f-f492-403f-a863-2a932c9b1a47/sclamp/Season_Information[2],uuid:9174282f-f492-403f-a863-2a932c9b1a47/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:9174282f-f492-403f-a863-2a932c9b1a47/sclamp/Season_Information[2],uuid:9174282f-f492-403f-a863-2a932c9b1a47/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
Red_spider_mite,,Medium,uuid:1b4f5c81-d022-4cf9-bc76-a5bf22fb22fe/sclamp/Season_Information[2],uuid:1b4f5c81-d022-4cf9-bc76-a5bf22fb22fe/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
Leaf_eaters,,Medium,uuid:1b4f5c81-d022-4cf9-bc76-a5bf22fb22fe/sclamp/Season_Information[2],uuid:1b4f5c81-d022-4cf9-bc76-a5bf22fb22fe/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:1b4f5c81-d022-4cf9-bc76-a5bf22fb22fe/sclamp/Season_Information[2],uuid:1b4f5c81-d022-4cf9-bc76-a5bf22fb22fe/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
Shortage_of_rain,,Medium,uuid:c36e782d-86bb-49f3-b154-6f145c48219f/sclamp/Season_Information[2],uuid:c36e782d-86bb-49f3-b154-6f145c48219f/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:c36e782d-86bb-49f3-b154-6f145c48219f/sclamp/Season_Information[2],uuid:c36e782d-86bb-49f3-b154-6f145c48219f/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:c36e782d-86bb-49f3-b154-6f145c48219f/sclamp/Season_Information[2],uuid:c36e782d-86bb-49f3-b154-6f145c48219f/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
Shortage_of_rain,,Medium,uuid:62390282-72bc-4215-ad7c-c8002bf36b50/sclamp/Season_Information[2],uuid:62390282-72bc-4215-ad7c-c8002bf36b50/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:62390282-72bc-4215-ad7c-c8002bf36b50/sclamp/Season_Information[2],uuid:62390282-72bc-4215-ad7c-c8002bf36b50/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:62390282-72bc-4215-ad7c-c8002bf36b50/sclamp/Season_Information[2],uuid:62390282-72bc-4215-ad7c-c8002bf36b50/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
Shortage_of_rain,,Low,uuid:89671743-574b-4439-b8a6-7d9bb858a5b2/sclamp/Season_Information[2],uuid:89671743-574b-4439-b8a6-7d9bb858a5b2/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:89671743-574b-4439-b8a6-7d9bb858a5b2/sclamp/Season_Information[2],uuid:89671743-574b-4439-b8a6-7d9bb858a5b2/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:89671743-574b-4439-b8a6-7d9bb858a5b2/sclamp/Season_Information[2],uuid:89671743-574b-4439-b8a6-7d9bb858a5b2/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
Too_much_rain,,High,uuid:aed7ec83-711e-4f54-8452-3c3fd46ca518/sclamp/Season_Information[3],uuid:aed7ec83-711e-4f54-8452-3c3fd46ca518/sclamp/Season_Information[3]/constraints_for_tomato_production[1]
None,,,uuid:aed7ec83-711e-4f54-8452-3c3fd46ca518/sclamp/Season_Information[3],uuid:aed7ec83-711e-4f54-8452-3c3fd46ca518/sclamp/Season_Information[3]/constraints_for_tomato_production[2]
None,,,uuid:aed7ec83-711e-4f54-8452-3c3fd46ca518/sclamp/Season_Information[3],uuid:aed7ec83-711e-4f54-8452-3c3fd46ca518/sclamp/Season_Information[3]/constraints_for_tomato_production[3]
Thrips_Western_flower_thrips,,Medium,uuid:2d8d344d-4f55-43d6-a779-5c5ef12bfcbb/sclamp/Season_Information[3],uuid:2d8d344d-4f55-43d6-a779-5c5ef12bfcbb/sclamp/Season_Information[3]/constraints_for_tomato_production[1]
Red_spider_mite,,Medium,uuid:2d8d344d-4f55-43d6-a779-5c5ef12bfcbb/sclamp/Season_Information[3],uuid:2d8d344d-4f55-43d6-a779-5c5ef12bfcbb/sclamp/Season_Information[3]/constraints_for_tomato_production[2]
Plant_diseases,,Medium,uuid:2d8d344d-4f55-43d6-a779-5c5ef12bfcbb/sclamp/Season_Information[3],uuid:2d8d344d-4f55-43d6-a779-5c5ef12bfcbb/sclamp/Season_Information[3]/constraints_for_tomato_production[3]
Red_spider_mite,,Medium,uuid:969a7c0e-248f-45d9-b86d-3e5c9faeb1cf/sclamp/Season_Information[2],uuid:969a7c0e-248f-45d9-b86d-3e5c9faeb1cf/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
Leaf_eaters,,High,uuid:969a7c0e-248f-45d9-b86d-3e5c9faeb1cf/sclamp/Season_Information[2],uuid:969a7c0e-248f-45d9-b86d-3e5c9faeb1cf/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
Plant_diseases,,Medium,uuid:969a7c0e-248f-45d9-b86d-3e5c9faeb1cf/sclamp/Season_Information[2],uuid:969a7c0e-248f-45d9-b86d-3e5c9faeb1cf/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
None,,,uuid:3955d0b7-43b2-4f68-aad9-929dc650d75e/sclamp/Season_Information[2],uuid:3955d0b7-43b2-4f68-aad9-929dc650d75e/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:3955d0b7-43b2-4f68-aad9-929dc650d75e/sclamp/Season_Information[2],uuid:3955d0b7-43b2-4f68-aad9-929dc650d75e/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:3955d0b7-43b2-4f68-aad9-929dc650d75e/sclamp/Season_Information[2],uuid:3955d0b7-43b2-4f68-aad9-929dc650d75e/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
White_flies,,Medium,uuid:281df583-0663-4d14-af22-7af60826674e/sclamp/Season_Information[4],uuid:281df583-0663-4d14-af22-7af60826674e/sclamp/Season_Information[4]/constraints_for_tomato_production[1]
None,,,uuid:281df583-0663-4d14-af22-7af60826674e/sclamp/Season_Information[4],uuid:281df583-0663-4d14-af22-7af60826674e/sclamp/Season_Information[4]/constraints_for_tomato_production[2]
None,,,uuid:281df583-0663-4d14-af22-7af60826674e/sclamp/Season_Information[4],uuid:281df583-0663-4d14-af22-7af60826674e/sclamp/Season_Information[4]/constraints_for_tomato_production[3]
Plant_diseases,,Medium,uuid:ad397656-60b9-4e6b-96ef-d940a90d79be/sclamp/Season_Information[2],uuid:ad397656-60b9-4e6b-96ef-d940a90d79be/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
Shortage_of_rain,,Medium,uuid:ad397656-60b9-4e6b-96ef-d940a90d79be/sclamp/Season_Information[2],uuid:ad397656-60b9-4e6b-96ef-d940a90d79be/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:ad397656-60b9-4e6b-96ef-d940a90d79be/sclamp/Season_Information[2],uuid:ad397656-60b9-4e6b-96ef-d940a90d79be/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
Red_spider_mite,,Medium,uuid:533fb915-637b-44a1-b5c6-b49547137b4a/sclamp/Season_Information[2],uuid:533fb915-637b-44a1-b5c6-b49547137b4a/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
Shortage_of_rain,,Medium,uuid:533fb915-637b-44a1-b5c6-b49547137b4a/sclamp/Season_Information[2],uuid:533fb915-637b-44a1-b5c6-b49547137b4a/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:533fb915-637b-44a1-b5c6-b49547137b4a/sclamp/Season_Information[2],uuid:533fb915-637b-44a1-b5c6-b49547137b4a/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
Soil_fertility_exhaustion,,None,uuid:d5b809d4-e60c-4604-8f84-f8e46076180b/sclamp/Season_Information[2],uuid:d5b809d4-e60c-4604-8f84-f8e46076180b/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:d5b809d4-e60c-4604-8f84-f8e46076180b/sclamp/Season_Information[2],uuid:d5b809d4-e60c-4604-8f84-f8e46076180b/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:d5b809d4-e60c-4604-8f84-f8e46076180b/sclamp/Season_Information[2],uuid:d5b809d4-e60c-4604-8f84-f8e46076180b/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
None,,,uuid:41db1e6c-9cf2-4038-95d5-aef284dacfe2/sclamp/Season_Information[3],uuid:41db1e6c-9cf2-4038-95d5-aef284dacfe2/sclamp/Season_Information[3]/constraints_for_tomato_production[1]
None,,,uuid:41db1e6c-9cf2-4038-95d5-aef284dacfe2/sclamp/Season_Information[3],uuid:41db1e6c-9cf2-4038-95d5-aef284dacfe2/sclamp/Season_Information[3]/constraints_for_tomato_production[2]
None,,,uuid:41db1e6c-9cf2-4038-95d5-aef284dacfe2/sclamp/Season_Information[3],uuid:41db1e6c-9cf2-4038-95d5-aef284dacfe2/sclamp/Season_Information[3]/constraints_for_tomato_production[3]
Shortage_of_rain,,Medium,uuid:b4ed47f0-8a4e-4eb1-87b4-ffd8c5c28ae0/sclamp/Season_Information[2],uuid:b4ed47f0-8a4e-4eb1-87b4-ffd8c5c28ae0/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:b4ed47f0-8a4e-4eb1-87b4-ffd8c5c28ae0/sclamp/Season_Information[2],uuid:b4ed47f0-8a4e-4eb1-87b4-ffd8c5c28ae0/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:b4ed47f0-8a4e-4eb1-87b4-ffd8c5c28ae0/sclamp/Season_Information[2],uuid:b4ed47f0-8a4e-4eb1-87b4-ffd8c5c28ae0/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
Red_spider_mite,,Medium,uuid:4d6070ee-e108-42ce-b5cd-c8e005f324fd/sclamp/Season_Information[2],uuid:4d6070ee-e108-42ce-b5cd-c8e005f324fd/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
Cut_worm,,Low,uuid:4d6070ee-e108-42ce-b5cd-c8e005f324fd/sclamp/Season_Information[2],uuid:4d6070ee-e108-42ce-b5cd-c8e005f324fd/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:4d6070ee-e108-42ce-b5cd-c8e005f324fd/sclamp/Season_Information[2],uuid:4d6070ee-e108-42ce-b5cd-c8e005f324fd/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
Too_much_rain,,Medium,uuid:93cc986d-1e5c-4e37-a7dd-00259500134e/sclamp/Season_Information[2],uuid:93cc986d-1e5c-4e37-a7dd-00259500134e/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:93cc986d-1e5c-4e37-a7dd-00259500134e/sclamp/Season_Information[2],uuid:93cc986d-1e5c-4e37-a7dd-00259500134e/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:93cc986d-1e5c-4e37-a7dd-00259500134e/sclamp/Season_Information[2],uuid:93cc986d-1e5c-4e37-a7dd-00259500134e/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
