three_other_constraints_for_tomato_production_Feb_March_2020,other_constraints_for_tomato_production_Feb_March_2020,level_of_severity_tomato_production_Feb_March_2020,PARENT_KEY,KEY
Too_much_rain,,High,uuid:5a10310c-170c-4ec9-abcb-00272c02fea4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:5a10310c-170c-4ec9-abcb-00272c02fea4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
Ballworm,,Medium,uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[1]
other,Burns on the bottom of the fruit,Low,uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[2]
Ballworm,,Medium,uuid:1a9ec839-9334-4076-9d8b-4f84d65c60c2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:1a9ec839-9334-4076-9d8b-4f84d65c60c2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Soil_fertility_exhaustion_,,Low,uuid:1a9ec839-9334-4076-9d8b-4f84d65c60c2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:1a9ec839-9334-4076-9d8b-4f84d65c60c2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
other,Drying of plants,Medium,uuid:eaadad04-4464-49cd-a2bd-d1a3c8aa52d3/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:eaadad04-4464-49cd-a2bd-d1a3c8aa52d3/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
other,Drying of plants,High,uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,Low,uuid:57b8fcb2-2b67-49c3-8021-63d05217bd33/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:57b8fcb2-2b67-49c3-8021-63d05217bd33/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
other,Rotting of fruit,Medium,uuid:57b8fcb2-2b67-49c3-8021-63d05217bd33/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:57b8fcb2-2b67-49c3-8021-63d05217bd33/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
other,Drying of leaves,High,uuid:4b4915f1-666c-463a-957c-897ecff93c31/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:4b4915f1-666c-463a-957c-897ecff93c31/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[1]
Ballworm,,Medium,uuid:d9cfae01-f338-4bca-a087-16ef9947f586/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:d9cfae01-f338-4bca-a087-16ef9947f586/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
other,Wilting,Medium,uuid:d9cfae01-f338-4bca-a087-16ef9947f586/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:d9cfae01-f338-4bca-a087-16ef9947f586/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
Cut_worm,,Medium,uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[1]
Ballworm,,Medium,uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[2]
other,Falling off of leaves and flowers,High,uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[3]
other,Drying of the plants,Medium,uuid:903ef8da-3ef5-4aed-a642-1fb56ecca819/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:903ef8da-3ef5-4aed-a642-1fb56ecca819/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[1]
other,Drying of leaves,Medium,uuid:8d005c78-2678-40b8-85f2-847500b8d603/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:8d005c78-2678-40b8-85f2-847500b8d603/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
other,Rotting of the fruit,Low,uuid:8d005c78-2678-40b8-85f2-847500b8d603/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:8d005c78-2678-40b8-85f2-847500b8d603/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
Ballworm,,Medium,uuid:706361f5-93fc-4792-a155-95133b358e6e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:706361f5-93fc-4792-a155-95133b358e6e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,High,uuid:706361f5-93fc-4792-a155-95133b358e6e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:706361f5-93fc-4792-a155-95133b358e6e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
Soil_fertility_exhaustion_,,Medium,uuid:706361f5-93fc-4792-a155-95133b358e6e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:706361f5-93fc-4792-a155-95133b358e6e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[3]
Too_much_rain,,Medium,uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[1]
other,Rotting of fruits,High,uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[2]
Plant_diseases_,,High,uuid:b274dff4-d26b-4575-bc67-002c4ed769a7/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:b274dff4-d26b-4575-bc67-002c4ed769a7/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,High,uuid:0cafa010-dd3e-4b35-92d9-02cf799ad342/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:0cafa010-dd3e-4b35-92d9-02cf799ad342/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Too_much_rain,,High,uuid:f6b6da6c-f4e9-412f-9f35-dbf1601dd087/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:f6b6da6c-f4e9-412f-9f35-dbf1601dd087/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,High,uuid:eadc2067-16c3-4a6c-a3ee-5b82aab8063d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:eadc2067-16c3-4a6c-a3ee-5b82aab8063d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,High,uuid:5314ad27-7f11-4c87-ab6b-baf35d397e26/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:5314ad27-7f11-4c87-ab6b-baf35d397e26/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,High,uuid:a09a56a3-2458-454b-b319-93a1748d397c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[5],uuid:a09a56a3-2458-454b-b319-93a1748d397c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[5]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,High,uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,Medium,uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[1]
Too_much_rain,,High,uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[2]
Plant_diseases_,,High,uuid:034dd39d-23d2-421c-b1a8-60fe85e15022/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:034dd39d-23d2-421c-b1a8-60fe85e15022/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,High,uuid:64b66d1c-5eea-4132-8419-fe4ac895bd68/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:64b66d1c-5eea-4132-8419-fe4ac895bd68/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,High,uuid:4868aa22-5c33-4bb1-b952-d1d9a40d3f8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:4868aa22-5c33-4bb1-b952-d1d9a40d3f8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Red_spider_mite,,Medium,uuid:4868aa22-5c33-4bb1-b952-d1d9a40d3f8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:4868aa22-5c33-4bb1-b952-d1d9a40d3f8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
other,Cloudy ,Medium,uuid:4868aa22-5c33-4bb1-b952-d1d9a40d3f8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:4868aa22-5c33-4bb1-b952-d1d9a40d3f8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[3]
Plant_diseases_,,High,uuid:823b19c4-4a86-42bc-bf88-82e824c06546/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:823b19c4-4a86-42bc-bf88-82e824c06546/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,High,uuid:9340185b-fae5-42a0-81c8-45ef3f519c1b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:9340185b-fae5-42a0-81c8-45ef3f519c1b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[1]
Too_much_rain,,High,uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,Medium,uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[2]
Leaf_eaters_,,Low,uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[3]
Plant_diseases_,,High,uuid:854617f7-6615-447e-8482-3aacea4981b1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:854617f7-6615-447e-8482-3aacea4981b1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,High,uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
other,Cloudy ,Medium,uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
Plant_diseases_,,Medium,uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[3]
Plant_diseases_,,High,uuid:b9551ab0-0467-48a8-aa91-611dc65f5a77/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:b9551ab0-0467-48a8-aa91-611dc65f5a77/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,High,uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
other,Cloudy,Medium,uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
other,Animals,Medium,uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[3]
Other_leaf_miners_Lirimyza_spec,,High,uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[1]
Shortage_of_rain,,Medium,uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[2]
other,Monkeys,Medium,uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[3]
Other_leaf_miners_Lirimyza_spec,,High,uuid:a773bc95-53fc-4f21-8bbc-e14eff96e268/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a773bc95-53fc-4f21-8bbc-e14eff96e268/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Leaf_eaters_,,Low,uuid:a773bc95-53fc-4f21-8bbc-e14eff96e268/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a773bc95-53fc-4f21-8bbc-e14eff96e268/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
Plant_diseases_,,Medium,uuid:a773bc95-53fc-4f21-8bbc-e14eff96e268/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a773bc95-53fc-4f21-8bbc-e14eff96e268/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[3]
other,Tomato wilt,High,uuid:c02a1732-25c3-409b-a2b8-fd92dd5cabaf/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:c02a1732-25c3-409b-a2b8-fd92dd5cabaf/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
other,Tomato wilt,High,uuid:46fc2f07-9bd0-4b75-956a-291b7615e896/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:46fc2f07-9bd0-4b75-956a-291b7615e896/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/constraints_for_tomato_production_Feb_March_2020[1]
other,Tomato wilt,High,uuid:1bfdb3e2-a6f2-4daf-95a6-1246c02b46c9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:1bfdb3e2-a6f2-4daf-95a6-1246c02b46c9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[1]
Leaf_eaters_,,Medium,uuid:53e2f3d8-9d93-47fc-a22f-ce61c0fa25ca/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:53e2f3d8-9d93-47fc-a22f-ce61c0fa25ca/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
other,Market,High,uuid:53e2f3d8-9d93-47fc-a22f-ce61c0fa25ca/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:53e2f3d8-9d93-47fc-a22f-ce61c0fa25ca/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
Other_leaf_miners_Lirimyza_spec,,High,uuid:983b9ac5-bbc8-43f4-b8e3-b638fb65b99c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:983b9ac5-bbc8-43f4-b8e3-b638fb65b99c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/constraints_for_tomato_production_Feb_March_2020[1]
Too_much_rain,,Medium,uuid:983b9ac5-bbc8-43f4-b8e3-b638fb65b99c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:983b9ac5-bbc8-43f4-b8e3-b638fb65b99c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/constraints_for_tomato_production_Feb_March_2020[2]
Leaf_eaters_,,Medium,uuid:983b9ac5-bbc8-43f4-b8e3-b638fb65b99c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:983b9ac5-bbc8-43f4-b8e3-b638fb65b99c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/constraints_for_tomato_production_Feb_March_2020[3]
Drought,,High,uuid:46c78423-8a2f-4fa0-8726-cf4bb3922974/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:46c78423-8a2f-4fa0-8726-cf4bb3922974/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,High,uuid:84c6c6fa-8c01-4304-b791-a52cc87ef860/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:84c6c6fa-8c01-4304-b791-a52cc87ef860/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Other_leaf_miners_Lirimyza_spec,,High,uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[1]
Too_much_rain,,High,uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[2]
Other_leaf_miners_Lirimyza_spec,,High,uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Too_much_rain,,High,uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
