plot_id_Feb_March_2020,plot_location_name_Feb_March_2020,main_crop_on_this_plot_Feb_March_2020,plot_area_acres_Feb_March_2020,plot_tenure_Feb_March_2020,plot_tenure_other_Feb_March_2020,who_in_the_household_makes_decision_Feb_March_2020,how_fertile_is_the_soil_of_this_Feb_March_2020,what_is_surrounding_this_plot_Feb_March_2020,what_is_surrounding_this_plot_other_Feb_March_2020,is_intercropping_on_this_plot_Feb_March_2020,is_push_pull_technology_on_this_plot_Feb_March_2020,is_plot_irrigated_Feb_March_2020,has_this_plot_received_fertilizer_Feb_March_2020,has_this_plot_received_insecticide_Feb_March_2020,has_this_plot_received_herbicide_Feb_March_2020,total_production_harvested_dry_Feb_March_2020,did_crop_suffer_from_FAW_Feb_March_2020,percentage_of_production_lost_due_to_FAW_Feb_March_2020,did_crop_suffer_from_Stem-borer_Feb_March_2020,percentage_of_production_lost_due_to_Stem-borer_Feb_March_2020,did_crop_suffer_from_Striga_Feb_March_2020,percentage_of_production_lost_due_to_Striga_Feb_March_2020,did_crop_suffer_from_tuta_Absoluta_Feb_March_2020,percentage_of_production_lost_due_to_tuta_Absoluta_Feb_March_2020,PARENT_KEY,KEY
1,Kigwero,Maize,0.5,other,Inherited ,Head_and_spouse_jointly,Medium,Farmeland,,Yes,No,No,No,Yes,No,350.0,Yes,20.0,Yes,4.0,Yes,25.0,,,uuid:c20819bc-dcc6-4721-9655-d60f80ac911d,uuid:c20819bc-dcc6-4721-9655-d60f80ac911d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Kigwero 2,Maize,0.25,other,Inherited ,Head_and_spouse_jointly,Medium,Farmeland,,Yes,No,No,No,Yes,No,220.0,Yes,20.0,Yes,4.0,Yes,25.0,,,uuid:c20819bc-dcc6-4721-9655-d60f80ac911d,uuid:c20819bc-dcc6-4721-9655-d60f80ac911d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Bubinga,Maize,2.0,Rented_shared_in,,Head_,Low,other,Neighbour's crops ,Yes,No,No,No,No,No,400.0,Yes,15.0,Yes,4.0,Yes,25.0,,,uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba,uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Wadada,Tomato,0.125,Owned,,Spouse,Low,Farmeland,,No,,Yes,No,No,No,60.0,,,,,,,No,,uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba,uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
3,Wadada2,Maize,0.25,Owned,,Head_and_spouse_jointly,Low,Farmeland,,No,No,No,No,No,No,50.0,Yes,25.0,Yes,4.0,Yes,25.0,,,uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba,uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]
1,Home,Maize,0.5,other,Inherited ,Head_and_spouse_jointly,Low,other,Trees,Yes,No,No,Yes,Yes,No,220.0,Yes,15.0,Yes,2.0,Yes,14.29,,,uuid:47874c59-ec6e-4ee9-a583-f75e61074196,uuid:47874c59-ec6e-4ee9-a583-f75e61074196/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Fene,Tomato,0.125,other,Inherited ,Head_and_spouse_jointly,Low,other,Neighbour's crops ,No,,Yes,Yes,Yes,No,20.0,,,,,,,No,,uuid:47874c59-ec6e-4ee9-a583-f75e61074196,uuid:47874c59-ec6e-4ee9-a583-f75e61074196/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Home,Maize,1.5,Owned,,Head_and_spouse_jointly,Good,Farmeland,,Yes,No,No,No,Yes,No,500.0,Yes,10.0,Yes,5.0,No,,,,uuid:5a10310c-170c-4ec9-abcb-00272c02fea4,uuid:5a10310c-170c-4ec9-abcb-00272c02fea4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Bubinga,Tomato,0.25,other,Inherited,Head_and_spouse_jointly,Good,Farmeland,,No,,Yes,No,Yes,No,60.0,,,,,,,No,,uuid:5a10310c-170c-4ec9-abcb-00272c02fea4,uuid:5a10310c-170c-4ec9-abcb-00272c02fea4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Waka,Tomato,0.25,other,Inherited,Spouse,Good,other,Neighbour's crops and trees,No,,Yes,No,Yes,No,150.0,,,,,,,No,,uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa,uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Mutala,Maize,4.0,Rented_shared_in,,Head_and_spouse_jointly,Medium,other,Neighbour's crops and trees,Yes,No,No,No,Yes,No,550.0,Yes,20.0,Yes,1.0,Yes,25.0,,,uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa,uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Home,Maize,1.0,Owned,,Head_and_spouse_jointly,Low,other,Neighbour's crops,No,No,Yes,No,Yes,No,900.0,Yes,5.0,Yes,3.0,Yes,35.0,,,uuid:1a9ec839-9334-4076-9d8b-4f84d65c60c2,uuid:1a9ec839-9334-4076-9d8b-4f84d65c60c2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Manga,Tomato,0.5,Owned,,Head_and_spouse_jointly,Low,other,Neighbour's crops,No,,Yes,No,No,No,792.0,,,,,,,No,,uuid:1a9ec839-9334-4076-9d8b-4f84d65c60c2,uuid:1a9ec839-9334-4076-9d8b-4f84d65c60c2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Home,Maize,0.25,other,Inherited,Head_,Low,other,Neighbour's crops,No,No,No,No,Yes,No,250.0,Yes,18.0,Yes,5.0,Yes,20.0,,,uuid:eaadad04-4464-49cd-a2bd-d1a3c8aa52d3,uuid:eaadad04-4464-49cd-a2bd-d1a3c8aa52d3/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Home,Tomato,0.125,other,Inherited,Head_and_spouse_jointly,Low,Farmeland,,No,,Yes,No,Yes,No,20.0,,,,,,,No,,uuid:eaadad04-4464-49cd-a2bd-d1a3c8aa52d3,uuid:eaadad04-4464-49cd-a2bd-d1a3c8aa52d3/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
3,Bwidi,Maize,2.0,Owned,,Head_and_spouse_jointly,Low,other,Neighbour's crops,Yes,No,No,No,Yes,No,900.0,Yes,15.0,Yes,5.0,Yes,25.0,,,uuid:eaadad04-4464-49cd-a2bd-d1a3c8aa52d3,uuid:eaadad04-4464-49cd-a2bd-d1a3c8aa52d3/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]
4,Kuluzi,Maize,3.0,Rented_shared_in,,Head_and_spouse_jointly,Low,other,Neighbour's crops ,Yes,No,No,No,Yes,No,500.0,Yes,20.0,Yes,5.0,No,,,,uuid:eaadad04-4464-49cd-a2bd-d1a3c8aa52d3,uuid:eaadad04-4464-49cd-a2bd-d1a3c8aa52d3/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]
1,Home,Tomato,0.125,Owned,,Spouse,Good,other,Trees,No,,Yes,Yes,Yes,No,45.0,,,,,,,No,,uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2,uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Kufene,Maize,0.5,Owned,,Head_and_spouse_jointly,Good,other,Neighbour's crops ,Yes,No,No,No,Yes,No,50.0,Yes,40.0,Yes,3.0,Yes,30.0,,,uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2,uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
3,Manga,Maize,1.0,Owned,,Head_and_spouse_jointly,Medium,other,Neighbour's crops,No,No,No,Yes,Yes,No,200.0,Yes,30.0,Yes,3.0,Yes,30.0,,,uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2,uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]
1,Kiwanyi,Maize,1.0,Owned,,Head_and_spouse_jointly,Low,other,Neighbour's crops,Yes,No,No,No,Yes,No,500.0,Yes,20.0,Yes,5.0,No,,,,uuid:5f497353-90f8-4be3-9614-3d5bf6cf668b,uuid:5f497353-90f8-4be3-9614-3d5bf6cf668b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Kisenyi,Tomato,0.5,Rented_shared_in,,Spouse,Good,other,Neighbour's crops,No,,No,No,Yes,No,450.0,,,,,,,No,,uuid:5f497353-90f8-4be3-9614-3d5bf6cf668b,uuid:5f497353-90f8-4be3-9614-3d5bf6cf668b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Katengerere,Maize,2.0,Owned,,Head_and_spouse_jointly,Medium,Farmeland,,Yes,No,No,No,Yes,No,220.0,Yes,20.0,Yes,5.0,Yes,35.0,,,uuid:57b8fcb2-2b67-49c3-8021-63d05217bd33,uuid:57b8fcb2-2b67-49c3-8021-63d05217bd33/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Wakati,Tomato,0.125,Owned,,Head_,Medium,Farmeland,,No,,Yes,No,No,No,600.0,,,,,,,Yes,10.0,uuid:57b8fcb2-2b67-49c3-8021-63d05217bd33,uuid:57b8fcb2-2b67-49c3-8021-63d05217bd33/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Manga,Tomato,0.25,Owned,,Spouse,Medium,Farmeland,,No,,Yes,No,Yes,No,120.0,,,,,,,Yes,5.0,uuid:4b4915f1-666c-463a-957c-897ecff93c31,uuid:4b4915f1-666c-463a-957c-897ecff93c31/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Mitala,Maize,3.0,Owned,,Other_household_member,Medium,Farmeland,,Yes,No,No,No,Yes,No,500.0,Yes,18.0,Yes,3.0,Yes,30.0,,,uuid:4b4915f1-666c-463a-957c-897ecff93c31,uuid:4b4915f1-666c-463a-957c-897ecff93c31/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Home,Maize,1.0,Owned,,Spouse,Low,other,Neighbour's crops,Yes,No,No,No,Yes,No,120.0,Yes,15.0,Yes,3.0,Yes,25.0,,,uuid:d9cfae01-f338-4bca-a087-16ef9947f586,uuid:d9cfae01-f338-4bca-a087-16ef9947f586/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Wansi,Tomato,0.25,Owned,,Spouse,Low,Farmeland,,No,,Yes,No,Yes,No,330.0,,,,,,,No,,uuid:d9cfae01-f338-4bca-a087-16ef9947f586,uuid:d9cfae01-f338-4bca-a087-16ef9947f586/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Waka,Maize,1.0,Owned,,Head_and_spouse_jointly,Medium,other,Neighbour's crops,Yes,No,No,No,Yes,No,400.0,Yes,35.0,Yes,3.0,No,,,,uuid:0a6df2a0-2a31-4b93-9e2c-905a329664a4,uuid:0a6df2a0-2a31-4b93-9e2c-905a329664a4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Wamanga,Maize,1.0,Owned,,Head_and_spouse_jointly,Low,other,Neighbour's crops,Yes,No,No,No,No,No,430.0,Yes,30.0,Yes,4.0,Yes,50.0,,,uuid:0a6df2a0-2a31-4b93-9e2c-905a329664a4,uuid:0a6df2a0-2a31-4b93-9e2c-905a329664a4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Basambyisa B,Tomato,0.5,Owned,,Head_and_spouse_jointly,Medium,other,Neighbour's crops,No,,Yes,Yes,Yes,No,140.0,,,,,,,No,,uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98,uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Basambyayisa A,Maize,2.0,Owned,,Head_,Low,other,Neighbour's crops,Yes,No,No,Yes,Yes,No,655.0,Yes,30.0,Yes,2.0,Yes,50.0,,,uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98,uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Waka,Maize,1.0,Owned,,Head_,Medium,other,Neighbour's crops,Yes,No,No,No,Yes,No,700.0,Yes,50.0,Yes,6.0,Yes,50.0,,,uuid:903ef8da-3ef5-4aed-a642-1fb56ecca819,uuid:903ef8da-3ef5-4aed-a642-1fb56ecca819/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Manga,Maize,1.0,Owned,,Head_and_spouse_jointly,Good,other,Neighbour's crops,No,No,No,No,Yes,No,500.0,Yes,26.0,Yes,3.0,No,,,,uuid:903ef8da-3ef5-4aed-a642-1fb56ecca819,uuid:903ef8da-3ef5-4aed-a642-1fb56ecca819/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
3,Wansi,Tomato,0.25,Owned,,Head_and_spouse_jointly,Good,Farmeland,,No,,Yes,No,Yes,No,80.0,,,,,,,No,,uuid:903ef8da-3ef5-4aed-a642-1fb56ecca819,uuid:903ef8da-3ef5-4aed-a642-1fb56ecca819/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]
1,Manga,Maize,0.5,Owned,,Head_,Low,Farmeland,,Yes,No,No,No,No,No,330.0,Yes,30.0,Yes,3.0,Yes,45.0,,,uuid:8d005c78-2678-40b8-85f2-847500b8d603,uuid:8d005c78-2678-40b8-85f2-847500b8d603/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Kukisenyi,Tomato,0.125,Owned,,Spouse,Low,other,Neighbour's crops,Yes,,Yes,No,No,No,130.0,,,,,,,No,,uuid:8d005c78-2678-40b8-85f2-847500b8d603,uuid:8d005c78-2678-40b8-85f2-847500b8d603/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Waka,Maize,0.5,Owned,,Head_and_spouse_jointly,Low,Farmeland,,Yes,No,No,No,No,No,200.0,Yes,50.0,Yes,4.0,Yes,35.0,,,uuid:706361f5-93fc-4792-a155-95133b358e6e,uuid:706361f5-93fc-4792-a155-95133b358e6e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Manga,Tomato,0.5,Owned,,Head_and_spouse_jointly,Low,Farmeland,,No,,Yes,No,Yes,No,140.0,,,,,,,No,,uuid:706361f5-93fc-4792-a155-95133b358e6e,uuid:706361f5-93fc-4792-a155-95133b358e6e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Mangakakota,Maize,1.0,other,Inherited ,Head_and_spouse_jointly,Low,other,Neighbour's crops ,Yes,No,No,No,Yes,No,320.0,Yes,12.0,Yes,3.0,Yes,35.0,,,uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c,uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Lutawo,Maize,0.75,Rented_shared_in,,Head_,Low,other,Neighbour's crops ,Yes,No,No,No,Yes,No,200.0,Yes,12.0,Yes,3.0,Yes,35.0,,,uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c,uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
3,Mangakakota 2,Tomato,0.25,Owned,,Spouse,Low,other,Neighbour's crops ,No,,Yes,No,Yes,No,30.0,,,,,,,No,,uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c,uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]
1,Magada,Maize,0.25,Rented_shared_in,,Spouse,Low,Farmeland,,Yes,No,No,No,Yes,No,150.0,Yes,10.0,No,,Yes,25.0,,,uuid:5f32e21a-e4c6-47ee-97a1-735bf0846906,uuid:5f32e21a-e4c6-47ee-97a1-735bf0846906/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Nawansekese,Maize,0.5,Rented_shared_in,,Spouse,Medium,Farmeland,,Yes,No,No,No,Yes,No,450.0,Yes,10.0,Yes,5.0,Yes,25.0,,,uuid:5f32e21a-e4c6-47ee-97a1-735bf0846906,uuid:5f32e21a-e4c6-47ee-97a1-735bf0846906/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Kategele,Maize,1.0,Rented_shared_in,,Head_and_spouse_jointly,Medium,Farmeland,,Yes,No,No,Yes,Yes,No,500.0,Yes,5.0,Yes,5.0,No,,,,uuid:b274dff4-d26b-4575-bc67-002c4ed769a7,uuid:b274dff4-d26b-4575-bc67-002c4ed769a7/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Kasolo,Tomato,0.5,Rented_shared_in,,Head_and_spouse_jointly,Medium,Farmeland,,No,,No,Yes,Yes,No,185.0,,,,,,,Yes,2.0,uuid:b274dff4-d26b-4575-bc67-002c4ed769a7,uuid:b274dff4-d26b-4575-bc67-002c4ed769a7/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Manga,Maize,2.0,Owned,,Head_,Medium,Farmeland,,Yes,Yes,No,Yes,Yes,No,700.0,Yes,2.0,No,,No,,,,uuid:0cafa010-dd3e-4b35-92d9-02cf799ad342,uuid:0cafa010-dd3e-4b35-92d9-02cf799ad342/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Manga,Tomato,0.5,Owned,,Head_,Medium,Farmeland,,No,,No,Yes,Yes,No,230.0,,,,,,,Yes,10.0,uuid:0cafa010-dd3e-4b35-92d9-02cf799ad342,uuid:0cafa010-dd3e-4b35-92d9-02cf799ad342/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Bukasa,Maize,2.0,Owned,,Head_,Good,Farmeland,,No,No,No,No,Yes,No,15.0,Yes,1.0,No,,Yes,2.0,,,uuid:f6b6da6c-f4e9-412f-9f35-dbf1601dd087,uuid:f6b6da6c-f4e9-412f-9f35-dbf1601dd087/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Home,Tomato,0.25,Owned,,Head_and_spouse_jointly,Good,Farmeland,,No,,No,Yes,Yes,No,200.0,,,,,,,No,,uuid:f6b6da6c-f4e9-412f-9f35-dbf1601dd087,uuid:f6b6da6c-f4e9-412f-9f35-dbf1601dd087/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Kitale,Maize,2.0,Owned,,Head_and_spouse_jointly,Medium,Farmeland,,Yes,No,No,No,Yes,No,1270.0,Yes,20.0,No,,Yes,4.0,,,uuid:eadc2067-16c3-4a6c-a3ee-5b82aab8063d,uuid:eadc2067-16c3-4a6c-a3ee-5b82aab8063d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Waka,Tomato,0.25,Owned,,Head_and_spouse_jointly,Good,Farmeland,,No,,Yes,Yes,Yes,No,0.0,,,,,,,Yes,50.0,uuid:eadc2067-16c3-4a6c-a3ee-5b82aab8063d,uuid:eadc2067-16c3-4a6c-a3ee-5b82aab8063d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Itale magada,Maize,1.0,Owned,,Head_and_other_household_member,Good,Farmeland,,Yes,No,No,No,Yes,No,1000.0,Yes,1.0,No,,Yes,3.0,,,uuid:dcb54892-9548-4580-9d66-5e6934880d3d,uuid:dcb54892-9548-4580-9d66-5e6934880d3d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
1,Manga,Maize,1.0,Owned,,Head_and_spouse_jointly,Medium,Farmeland,,Yes,No,No,No,Yes,No,600.0,Yes,3.0,Yes,1.0,Yes,40.0,,,uuid:c3f2fc03-5d66-445f-8225-12bed1694a44,uuid:c3f2fc03-5d66-445f-8225-12bed1694a44/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Kutaile,Maize,2.0,Rented_shared_in,,Head_and_spouse_jointly,Low,Farmeland,,No,No,No,No,Yes,No,200.0,Yes,7.0,Yes,3.0,Yes,60.0,,,uuid:c3f2fc03-5d66-445f-8225-12bed1694a44,uuid:c3f2fc03-5d66-445f-8225-12bed1694a44/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
3,Kumutala,Maize,1.0,Rented_shared_in,,Head_and_spouse_jointly,Low,Farmeland,,Yes,No,No,No,Yes,No,200.0,Yes,5.0,Yes,2.0,Yes,60.0,,,uuid:c3f2fc03-5d66-445f-8225-12bed1694a44,uuid:c3f2fc03-5d66-445f-8225-12bed1694a44/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]
1,Nakabale,Maize,1.5,Owned,,Head_,Low,Farmeland,,Yes,No,No,No,Yes,No,200.0,Yes,1.0,Yes,0.0,Yes,30.0,,,uuid:5314ad27-7f11-4c87-ab6b-baf35d397e26,uuid:5314ad27-7f11-4c87-ab6b-baf35d397e26/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
1,Kalitumba,Tomato,0.5,Rented_shared_in,,Head_,Medium,Farmeland,,No,,Yes,No,Yes,No,340.0,,,,,,,Yes,5.0,uuid:5314ad27-7f11-4c87-ab6b-baf35d397e26,uuid:5314ad27-7f11-4c87-ab6b-baf35d397e26/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Bukono upper,Maize,2.0,Owned,,Spouse,Low,Farmeland,,Yes,No,No,No,Yes,No,300.0,Yes,32.0,Yes,7.0,Yes,28.0,,,uuid:873f1ee1-be06-4f31-9bee-e7532a26ef6f,uuid:873f1ee1-be06-4f31-9bee-e7532a26ef6f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Winga,Maize,1.0,Owned,,Spouse,Medium,Farmeland,,Yes,No,No,No,Yes,No,150.0,Yes,24.0,Yes,12.0,Yes,32.0,,,uuid:873f1ee1-be06-4f31-9bee-e7532a26ef6f,uuid:873f1ee1-be06-4f31-9bee-e7532a26ef6f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
