other_constraints_for_maize_production_Aug_Sept_2020,other_constraints_Aug_Sept_2020,level_of_severity_maize_production_Aug_Sept_2020,PARENT_KEY,KEY
other,Animals,Low,uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
Drought,,High,uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Drought,,Medium,uuid:5f497353-90f8-4be3-9614-3d5bf6cf668b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:5f497353-90f8-4be3-9614-3d5bf6cf668b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:5f497353-90f8-4be3-9614-3d5bf6cf668b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:5f497353-90f8-4be3-9614-3d5bf6cf668b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
Other_pests,,Low,uuid:57b8fcb2-2b67-49c3-8021-63d05217bd33/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:57b8fcb2-2b67-49c3-8021-63d05217bd33/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Other_pests,,High,uuid:4b4915f1-666c-463a-957c-897ecff93c31/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:4b4915f1-666c-463a-957c-897ecff93c31/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,Medium,uuid:4b4915f1-666c-463a-957c-897ecff93c31/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:4b4915f1-666c-463a-957c-897ecff93c31/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Shortage_of_rain,,High,uuid:0a6df2a0-2a31-4b93-9e2c-905a329664a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:0a6df2a0-2a31-4b93-9e2c-905a329664a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Other_pests,,High,uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
other,Animals,Medium,uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
other,Animals,Medium,uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
Shortage_of_rain,,Medium,uuid:903ef8da-3ef5-4aed-a642-1fb56ecca819/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:903ef8da-3ef5-4aed-a642-1fb56ecca819/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Other_pests,,Medium,uuid:8d005c78-2678-40b8-85f2-847500b8d603/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:8d005c78-2678-40b8-85f2-847500b8d603/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
,,Low,uuid:5f32e21a-e4c6-47ee-97a1-735bf0846906/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:5f32e21a-e4c6-47ee-97a1-735bf0846906/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
other,None,Low,uuid:b274dff4-d26b-4575-bc67-002c4ed769a7/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:b274dff4-d26b-4575-bc67-002c4ed769a7/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:0cafa010-dd3e-4b35-92d9-02cf799ad342/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:0cafa010-dd3e-4b35-92d9-02cf799ad342/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,Medium,uuid:f6b6da6c-f4e9-412f-9f35-dbf1601dd087/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:f6b6da6c-f4e9-412f-9f35-dbf1601dd087/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
other,None,Low,uuid:dcb54892-9548-4580-9d66-5e6934880d3d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:dcb54892-9548-4580-9d66-5e6934880d3d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,Medium,uuid:873f1ee1-be06-4f31-9bee-e7532a26ef6f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:873f1ee1-be06-4f31-9bee-e7532a26ef6f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Other_pests,,Low,uuid:873f1ee1-be06-4f31-9bee-e7532a26ef6f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:873f1ee1-be06-4f31-9bee-e7532a26ef6f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Other_pests,,High,uuid:a09a56a3-2458-454b-b319-93a1748d397c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:a09a56a3-2458-454b-b319-93a1748d397c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Plant_diseases_,,Low,uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Other_pests,,High,uuid:9b05949b-b31f-405d-ba52-ccd55e15e5d4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:9b05949b-b31f-405d-ba52-ccd55e15e5d4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:9b05949b-b31f-405d-ba52-ccd55e15e5d4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:9b05949b-b31f-405d-ba52-ccd55e15e5d4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Plant_diseases_,,Medium,uuid:9b05949b-b31f-405d-ba52-ccd55e15e5d4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:9b05949b-b31f-405d-ba52-ccd55e15e5d4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[3]
Other_pests,,Medium,uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
other,Wind,High,uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Shortage_of_rain,,Medium,uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[3]
Soil_fertility_exhaustion_,,High,uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
Other_pests,,Medium,uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[2]
Shortage_of_rain,,Medium,uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[3]
Other_pests,,Medium,uuid:034dd39d-23d2-421c-b1a8-60fe85e15022/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:034dd39d-23d2-421c-b1a8-60fe85e15022/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,Medium,uuid:034dd39d-23d2-421c-b1a8-60fe85e15022/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:034dd39d-23d2-421c-b1a8-60fe85e15022/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
other,Thieves,Medium,uuid:034dd39d-23d2-421c-b1a8-60fe85e15022/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:034dd39d-23d2-421c-b1a8-60fe85e15022/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[3]
Other_pests,,Medium,uuid:4868aa22-5c33-4bb1-b952-d1d9a40d3f8c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:4868aa22-5c33-4bb1-b952-d1d9a40d3f8c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Shortage_of_rain,,Medium,uuid:4868aa22-5c33-4bb1-b952-d1d9a40d3f8c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:4868aa22-5c33-4bb1-b952-d1d9a40d3f8c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Plant_diseases_,,Low,uuid:4868aa22-5c33-4bb1-b952-d1d9a40d3f8c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:4868aa22-5c33-4bb1-b952-d1d9a40d3f8c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[3]
Soil_fertility_exhaustion_,,High,uuid:823b19c4-4a86-42bc-bf88-82e824c06546/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:823b19c4-4a86-42bc-bf88-82e824c06546/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:823b19c4-4a86-42bc-bf88-82e824c06546/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:823b19c4-4a86-42bc-bf88-82e824c06546/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:9340185b-fae5-42a0-81c8-45ef3f519c1b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:9340185b-fae5-42a0-81c8-45ef3f519c1b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Shortage_of_rain,,High,uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Other_pests,,Medium,uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Soil_fertility_exhaustion_,,Low,uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[3]
Soil_fertility_exhaustion_,,High,uuid:854617f7-6615-447e-8482-3aacea4981b1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:854617f7-6615-447e-8482-3aacea4981b1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:854617f7-6615-447e-8482-3aacea4981b1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:854617f7-6615-447e-8482-3aacea4981b1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Other_pests,,Medium,uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Plant_diseases_,,Low,uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Soil_fertility_exhaustion_,,High,uuid:b9551ab0-0467-48a8-aa91-611dc65f5a77/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:b9551ab0-0467-48a8-aa91-611dc65f5a77/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:b9551ab0-0467-48a8-aa91-611dc65f5a77/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:b9551ab0-0467-48a8-aa91-611dc65f5a77/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
Other_pests,,Medium,uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
other,Heavy rains,High,uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
other,Thieves,Medium,uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[3]
Soil_fertility_exhaustion_,,High,uuid:ddb9a876-1be6-4949-bc16-2883a09c32cb/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:ddb9a876-1be6-4949-bc16-2883a09c32cb/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:ddb9a876-1be6-4949-bc16-2883a09c32cb/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:ddb9a876-1be6-4949-bc16-2883a09c32cb/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Drought,,High,uuid:ddb9a876-1be6-4949-bc16-2883a09c32cb/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:ddb9a876-1be6-4949-bc16-2883a09c32cb/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:ddb9a876-1be6-4949-bc16-2883a09c32cb/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:ddb9a876-1be6-4949-bc16-2883a09c32cb/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[2]
Other_pests,,High,uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:31db2250-5242-465d-8b42-589aa9703d7e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:31db2250-5242-465d-8b42-589aa9703d7e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:a773bc95-53fc-4f21-8bbc-e14eff96e268/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:a773bc95-53fc-4f21-8bbc-e14eff96e268/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Other_pests,,Medium,uuid:a773bc95-53fc-4f21-8bbc-e14eff96e268/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:a773bc95-53fc-4f21-8bbc-e14eff96e268/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Other_pests,,High,uuid:c02a1732-25c3-409b-a2b8-fd92dd5cabaf/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:c02a1732-25c3-409b-a2b8-fd92dd5cabaf/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:c02a1732-25c3-409b-a2b8-fd92dd5cabaf/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:c02a1732-25c3-409b-a2b8-fd92dd5cabaf/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Soil_fertility_exhaustion_,,High,uuid:46fc2f07-9bd0-4b75-956a-291b7615e896/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:46fc2f07-9bd0-4b75-956a-291b7615e896/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:1bfdb3e2-a6f2-4daf-95a6-1246c02b46c9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:1bfdb3e2-a6f2-4daf-95a6-1246c02b46c9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:1bfdb3e2-a6f2-4daf-95a6-1246c02b46c9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:1bfdb3e2-a6f2-4daf-95a6-1246c02b46c9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:e699e0c1-d33a-46c1-b4f6-9cba00fa8359/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:e699e0c1-d33a-46c1-b4f6-9cba00fa8359/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Other_pests,,Medium,uuid:e699e0c1-d33a-46c1-b4f6-9cba00fa8359/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:e699e0c1-d33a-46c1-b4f6-9cba00fa8359/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Drought,,High,uuid:b4d52370-d1f0-464e-a3e6-37ac3186d773/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:b4d52370-d1f0-464e-a3e6-37ac3186d773/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:46c78423-8a2f-4fa0-8726-cf4bb3922974/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:46c78423-8a2f-4fa0-8726-cf4bb3922974/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
other,Termites,High,uuid:d5a2921d-f23c-4589-ac93-325beefa9f23/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:d5a2921d-f23c-4589-ac93-325beefa9f23/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Other_pests,,Medium,uuid:99695b6e-706e-46f2-8da7-61df87c7b7d3/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:99695b6e-706e-46f2-8da7-61df87c7b7d3/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
