strategies_was_used_to_control_Stem-borer_Feb_March_2020,specify_the_pesticide_stem_borer,perception_on_the_effectiveness_in_controlling_Stem-borer_Feb_March_2020,PARENT_KEY,KEY
Mechanically_Remove_The_Insect_,,Low,uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Rocket ,Low,uuid:47874c59-ec6e-4ee9-a583-f75e61074196/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:47874c59-ec6e-4ee9-a583-f75e61074196/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Mechanically_Remove_The_Insect_,,Low,uuid:47874c59-ec6e-4ee9-a583-f75e61074196/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:47874c59-ec6e-4ee9-a583-f75e61074196/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[2]
Mechanically_Remove_The_Insect_,,Low,uuid:5a10310c-170c-4ec9-abcb-00272c02fea4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:5a10310c-170c-4ec9-abcb-00272c02fea4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Mechanically_Remove_The_Insect_,,Low,uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Rocket,Medium,uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[2]
Mechanically_Remove_The_Insect_,,Low,uuid:eaadad04-4464-49cd-a2bd-d1a3c8aa52d3/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:eaadad04-4464-49cd-a2bd-d1a3c8aa52d3/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Can't remember,Low,uuid:eaadad04-4464-49cd-a2bd-d1a3c8aa52d3/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:eaadad04-4464-49cd-a2bd-d1a3c8aa52d3/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Mechanically_Remove_The_Insect_,,Low,uuid:eaadad04-4464-49cd-a2bd-d1a3c8aa52d3/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:eaadad04-4464-49cd-a2bd-d1a3c8aa52d3/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Can't remember ,Medium,uuid:eaadad04-4464-49cd-a2bd-d1a3c8aa52d3/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:eaadad04-4464-49cd-a2bd-d1a3c8aa52d3/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/strategies_to_control_Stem-borer_Feb_March_2020[2]
Mechanically_Remove_The_Insect_,,Medium,uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Uprooting_Infested_Plant_And_Bu,,Low,uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[2]
Mechanically_Remove_The_Insect_,,Low,uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Ambush,Medium,uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/strategies_to_control_Stem-borer_Feb_March_2020[2]
Pesticides_Application,Rocket,High,uuid:5f497353-90f8-4be3-9614-3d5bf6cf668b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:5f497353-90f8-4be3-9614-3d5bf6cf668b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Mechanically_Remove_The_Insect_,,Low,uuid:57b8fcb2-2b67-49c3-8021-63d05217bd33/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:57b8fcb2-2b67-49c3-8021-63d05217bd33/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Rocket,Medium,uuid:4b4915f1-666c-463a-957c-897ecff93c31/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:4b4915f1-666c-463a-957c-897ecff93c31/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Mechanically_Remove_The_Insect_,,Medium,uuid:4b4915f1-666c-463a-957c-897ecff93c31/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:4b4915f1-666c-463a-957c-897ecff93c31/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[2]
Mechanically_Remove_The_Insect_,,Low,uuid:4b4915f1-666c-463a-957c-897ecff93c31/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:4b4915f1-666c-463a-957c-897ecff93c31/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[3]
Mechanically_Remove_The_Insect_,,Low,uuid:d9cfae01-f338-4bca-a087-16ef9947f586/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:d9cfae01-f338-4bca-a087-16ef9947f586/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Dudu,High,uuid:d9cfae01-f338-4bca-a087-16ef9947f586/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:d9cfae01-f338-4bca-a087-16ef9947f586/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[2]
Early_Planting,,Low,uuid:0a6df2a0-2a31-4b93-9e2c-905a329664a4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:0a6df2a0-2a31-4b93-9e2c-905a329664a4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Early_Planting,,Low,uuid:0a6df2a0-2a31-4b93-9e2c-905a329664a4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:0a6df2a0-2a31-4b93-9e2c-905a329664a4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Not_Applicable,,Low,uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Rocket,Medium,uuid:903ef8da-3ef5-4aed-a642-1fb56ecca819/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:903ef8da-3ef5-4aed-a642-1fb56ecca819/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Tafuga,Medium,uuid:903ef8da-3ef5-4aed-a642-1fb56ecca819/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:903ef8da-3ef5-4aed-a642-1fb56ecca819/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Mechanically_Remove_The_Insect_,,Low,uuid:8d005c78-2678-40b8-85f2-847500b8d603/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:8d005c78-2678-40b8-85f2-847500b8d603/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Ash_pepper,,Low,uuid:706361f5-93fc-4792-a155-95133b358e6e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:706361f5-93fc-4792-a155-95133b358e6e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Mechanically_Remove_The_Insect_,,Low,uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Manure_Application,,Medium,uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[2]
Mechanically_Remove_The_Insect_,,Low,uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Rocket,Medium,uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[2]
Pesticides_Application,Rocket,Low,uuid:5f32e21a-e4c6-47ee-97a1-735bf0846906/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:5f32e21a-e4c6-47ee-97a1-735bf0846906/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Striker,High,uuid:b274dff4-d26b-4575-bc67-002c4ed769a7/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:b274dff4-d26b-4575-bc67-002c4ed769a7/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Rocket ,Medium,uuid:c3f2fc03-5d66-445f-8225-12bed1694a44/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:c3f2fc03-5d66-445f-8225-12bed1694a44/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Not_Applicable,,Low,uuid:5314ad27-7f11-4c87-ab6b-baf35d397e26/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:5314ad27-7f11-4c87-ab6b-baf35d397e26/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Cant remember,Medium,uuid:873f1ee1-be06-4f31-9bee-e7532a26ef6f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:873f1ee1-be06-4f31-9bee-e7532a26ef6f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Cant remember,High,uuid:873f1ee1-be06-4f31-9bee-e7532a26ef6f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:873f1ee1-be06-4f31-9bee-e7532a26ef6f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Doesn't  remember,Low,uuid:a09a56a3-2458-454b-b319-93a1748d397c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:a09a56a3-2458-454b-b319-93a1748d397c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Cant remember,Medium,uuid:a09a56a3-2458-454b-b319-93a1748d397c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a09a56a3-2458-454b-b319-93a1748d397c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Cant remember,Medium,uuid:a09a56a3-2458-454b-b319-93a1748d397c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:a09a56a3-2458-454b-b319-93a1748d397c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Can't remember,High,uuid:a09a56a3-2458-454b-b319-93a1748d397c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:a09a56a3-2458-454b-b319-93a1748d397c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Rocket ,High,uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Push_pull_Technology,,High,uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[2]
Improved_Varieties,,Medium,uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Crop_Rotation,,High,uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Intercropping_With_Legumes,,Medium,uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[2]
Manure_Application,,Medium,uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[3]
Crop_Rotation,,Medium,uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Uprooting_Infested_Plant_And_Bu,,Medium,uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/strategies_to_control_Stem-borer_Feb_March_2020[2]
Improved_Varieties,,Low,uuid:034dd39d-23d2-421c-b1a8-60fe85e15022/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:034dd39d-23d2-421c-b1a8-60fe85e15022/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Crop_Rotation,,Low,uuid:034dd39d-23d2-421c-b1a8-60fe85e15022/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:034dd39d-23d2-421c-b1a8-60fe85e15022/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[2]
Mechanically_Remove_The_Insect_,,Low,uuid:64b66d1c-5eea-4132-8419-fe4ac895bd68/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:64b66d1c-5eea-4132-8419-fe4ac895bd68/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Manure_Application,,Low,uuid:4868aa22-5c33-4bb1-b952-d1d9a40d3f8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:4868aa22-5c33-4bb1-b952-d1d9a40d3f8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Syper,Medium,uuid:4868aa22-5c33-4bb1-b952-d1d9a40d3f8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:4868aa22-5c33-4bb1-b952-d1d9a40d3f8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[2]
Intercropping_With_Legumes,,Medium,uuid:4868aa22-5c33-4bb1-b952-d1d9a40d3f8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:4868aa22-5c33-4bb1-b952-d1d9a40d3f8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[3]
Mechanically_Remove_The_Insect_,,Low,uuid:823b19c4-4a86-42bc-bf88-82e824c06546/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:823b19c4-4a86-42bc-bf88-82e824c06546/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Mechanically_Remove_The_Insect_,,Low,uuid:823b19c4-4a86-42bc-bf88-82e824c06546/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:823b19c4-4a86-42bc-bf88-82e824c06546/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Mechanically_Remove_The_Insect_,,Low,uuid:823b19c4-4a86-42bc-bf88-82e824c06546/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:823b19c4-4a86-42bc-bf88-82e824c06546/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Syper and Roket,Medium,uuid:d638fc3e-a07a-4aa8-a251-d35f2721fe8b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:d638fc3e-a07a-4aa8-a251-d35f2721fe8b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Mechanically_Remove_The_Insect_,,Low,uuid:9340185b-fae5-42a0-81c8-45ef3f519c1b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:9340185b-fae5-42a0-81c8-45ef3f519c1b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Mechanically_Remove_The_Insect_,,Low,uuid:9340185b-fae5-42a0-81c8-45ef3f519c1b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:9340185b-fae5-42a0-81c8-45ef3f519c1b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Intercropping_With_Legumes,,Medium,uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Crop_Rotation,,Medium,uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[2]
,,,uuid:854617f7-6615-447e-8482-3aacea4981b1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:854617f7-6615-447e-8482-3aacea4981b1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Crop_Rotation,,Medium,uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Intercropping_With_Legumes,,Low,uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[2]
