plot_id_Aug_Sept_2020,plot_location_name_Aug_Sept_2020,main_crop_on_this_plot_Aug_Sept_2020,plot_area_acres_Aug_Sept_2020,plot_tenure_Aug_Sept_2020,plot_tenure_other_Aug_Sept_2020,who_in_the_household_makes_decision__Aug_Sept_2020,how_fertile_is_the_soil_of_this_plot_Aug_Sept_2020,what_is_surrounding_this_plot_Aug_Sept_2020,what_is_surrounding_this_plot_other_Aug_Sept_2020,is_intercropping_on_this_plot_Aug_Sept_2020,is_push_pull_technology_on_this_plot_Aug_Sept_2020,is_plot_irrigated_Aug_Sept_2020,has_this_plot_received_fertilizer_Aug_Sept_2020,has_this_plot_received_insecticide_Aug_Sept_2020,has_this_plot_received_herbicide_Aug_Sept_2020,total_production_harvested_dry_Aug_Sept_2020,did_crop_suffer_from_FAW_Aug_Sept_2020,percentage_of_production_lost_due_to_FAW_Aug_Sept_2020,did_crop_suffer_from_Stem-borer_Aug_Sept_2020,percentage_of_production_lost_due_to_Stem-borer_Aug_Sept_2020,did_crop_suffer_from_Striga_Aug_Sept_2020,percentage_of_production_lost_due_to_Striga_Aug_Sept_2020,did_crop_suffer_from_tuta_Absoluta_Aug_Sept_2020,percentage_of_production_lost_due_to_tuta_Absoluta_Aug_Sept_2020,PARENT_KEY,KEY
1,Basambyisa A,Maize,1.0,Owned,,Head_and_spouse_jointly,Medium,other,Neighbours crops,No,No,No,Yes,Yes,No,140.0,Yes,15.0,Yes,3.0,No,,,,uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98,uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
3,Nabikabara,Maize,1.0,Owned,,Head_and_spouse_jointly,Good,other,Neighbour's crops,Yes,No,No,Yes,Yes,No,1000.0,Yes,20.0,Yes,2.0,No,,,,uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98,uuid:0b0d192a-5bab-4215-a5d9-acca65d1aa98/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
4,Kumuyembe,Maize,1.0,Owned,,Head_,Good,Farmeland,,No,No,No,Yes,Yes,No,450.0,Yes,10.0,Yes,4.0,Yes,20.0,,,uuid:903ef8da-3ef5-4aed-a642-1fb56ecca819,uuid:903ef8da-3ef5-4aed-a642-1fb56ecca819/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
5,Kukiswa,Tomato,0.25,Owned,,Spouse,Good,Farmeland,,No,,Yes,No,Yes,No,100.0,,,,,,,No,,uuid:903ef8da-3ef5-4aed-a642-1fb56ecca819,uuid:903ef8da-3ef5-4aed-a642-1fb56ecca819/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
3,Wansi,Maize,0.5,Owned,,Head_and_spouse_jointly,Low,Farmeland,,No,No,No,No,No,No,200.0,Yes,10.0,Yes,2.0,Yes,35.0,,,uuid:8d005c78-2678-40b8-85f2-847500b8d603,uuid:8d005c78-2678-40b8-85f2-847500b8d603/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
3,Kumuti,Tomato,0.5,Owned,,Head_and_spouse_jointly,Low,other,Neighbour's crops,No,,Yes,No,Yes,No,0.0,,,,,,,No,,uuid:706361f5-93fc-4792-a155-95133b358e6e,uuid:706361f5-93fc-4792-a155-95133b358e6e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
1,Mangakakota ,Maize,1.0,other,Inherited,Head_,Low,other,Neighbour's  crops,Yes,No,No,No,Yes,No,100.0,Yes,15.0,Yes,3.0,Yes,28.0,,,uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c,uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
3,Mangakakota 1,Tomato,0.5,Owned,,Head_and_spouse_jointly,Low,other,Neighbour's crops ,No,,Yes,No,No,No,15.0,,,,,,,Yes,15.0,uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c,uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
1,Nawansekese,Maize,1.0,Rented_shared_in,,Spouse,Medium,Farmeland,,Yes,No,No,No,No,No,150.0,Yes,2.0,No,,Yes,2.0,,,uuid:5f32e21a-e4c6-47ee-97a1-735bf0846906,uuid:5f32e21a-e4c6-47ee-97a1-735bf0846906/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
1,Kategele,Maize,1.5,Rented_shared_in,,Head_and_spouse_jointly,Medium,Farmeland,,Yes,No,No,Yes,Yes,No,600.0,Yes,5.0,Yes,1.0,Yes,2.0,,,uuid:b274dff4-d26b-4575-bc67-002c4ed769a7,uuid:b274dff4-d26b-4575-bc67-002c4ed769a7/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
1,Manga,Maize,2.0,Owned,,Head_,Medium,Farmeland,,Yes,No,No,No,Yes,No,500.0,No,,No,,No,,,,uuid:0cafa010-dd3e-4b35-92d9-02cf799ad342,uuid:0cafa010-dd3e-4b35-92d9-02cf799ad342/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
3,Home,Maize,0.5,Owned,,Head_and_spouse_jointly,Good,Farmeland,,No,Yes,No,No,Yes,No,200.0,No,,No,,No,,,,uuid:f6b6da6c-f4e9-412f-9f35-dbf1601dd087,uuid:f6b6da6c-f4e9-412f-9f35-dbf1601dd087/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
2,Home,Tomato,0.0625,Owned,,Head_,Good,Farmeland,,No,,No,Yes,Yes,No,60.0,,,,,,,No,,uuid:f6b6da6c-f4e9-412f-9f35-dbf1601dd087,uuid:f6b6da6c-f4e9-412f-9f35-dbf1601dd087/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
3,Kumanga,Tomato,1.0,Owned,,Head_and_spouse_jointly,Medium,Farmeland,,Yes,,No,No,Yes,No,362.0,,,,,,,No,,uuid:eadc2067-16c3-4a6c-a3ee-5b82aab8063d,uuid:eadc2067-16c3-4a6c-a3ee-5b82aab8063d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
1,Itale magada,Maize,2.5,Owned,,Head_and_other_household_member,Good,Farmeland,,Yes,No,No,No,Yes,No,2000.0,Yes,2.5,Yes,1.0,Yes,2.0,,,uuid:dcb54892-9548-4580-9d66-5e6934880d3d,uuid:dcb54892-9548-4580-9d66-5e6934880d3d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
2,Kalitumba,Tomato,1.5,Rented_shared_in,,Head_,Medium,Farmeland,,No,,Yes,No,Yes,No,500.0,,,,,,,Yes,6.0,uuid:5314ad27-7f11-4c87-ab6b-baf35d397e26,uuid:5314ad27-7f11-4c87-ab6b-baf35d397e26/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
1,Bukono upper,Maize,2.0,Owned,,Spouse,Medium,Farmeland,,Yes,No,No,No,Yes,No,150.0,Yes,19.0,Yes,12.0,Yes,47.0,,,uuid:873f1ee1-be06-4f31-9bee-e7532a26ef6f,uuid:873f1ee1-be06-4f31-9bee-e7532a26ef6f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
3,Bukono lower,Tomato,0.5,Owned,,Spouse,Medium,Farmeland,,No,,Yes,No,Yes,No,160.0,,,,,,,Yes,17.0,uuid:873f1ee1-be06-4f31-9bee-e7532a26ef6f,uuid:873f1ee1-be06-4f31-9bee-e7532a26ef6f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
2,Mwinga,Maize,3.0,Owned,,Head_and_spouse_jointly,Medium,Farmeland,,Yes,No,No,No,Yes,No,1200.0,Yes,20.0,Yes,5.0,Yes,25.0,,,uuid:a09a56a3-2458-454b-b319-93a1748d397c,uuid:a09a56a3-2458-454b-b319-93a1748d397c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
0,O,Tomato,0.0,Owned,,Spouse,Low,Farmeland,,No,,No,No,No,No,0.0,,,,,,,No,,uuid:a09a56a3-2458-454b-b319-93a1748d397c,uuid:a09a56a3-2458-454b-b319-93a1748d397c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
1,Orange,Maize,1.5,Owned,,Head_and_spouse_jointly,Good,Farmeland,,Yes,Yes,No,No,Yes,No,200.0,Yes,13.0,Yes,3.0,No,,,,uuid:fd9997a8-5c57-493d-8d68-c383c018aceb,uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
1,Lushanga ,Maize,0.5,Owned,,Head_,Low,Farmeland,,Yes,No,No,No,Yes,No,400.0,Yes,6.0,Yes,3.0,Yes,4.6,,,uuid:9b05949b-b31f-405d-ba52-ccd55e15e5d4,uuid:9b05949b-b31f-405d-ba52-ccd55e15e5d4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
3,Home 2,Maize,0.25,Owned,,Head_,Good,Settlement,,No,No,No,No,Yes,No,60.0,Yes,2.1,No,,No,,,,uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9,uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
4,Kigola 2,Maize,0.75,Owned,,Head_,Medium,Farmeland,,Yes,No,No,No,No,No,90.0,Yes,0.8,Yes,0.6,Yes,14.0,,,uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9,uuid:cb9fe384-e7e8-4f36-884c-23012a9b77f9/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
3,Nabukala 2,Maize,1.5,Owned,,Head_and_spouse_jointly,Good,Farmeland,,No,No,No,No,No,No,150.0,Yes,5.6,Yes,3.2,Yes,5.0,,,uuid:034dd39d-23d2-421c-b1a8-60fe85e15022,uuid:034dd39d-23d2-421c-b1a8-60fe85e15022/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
2,Kisenyi,Maize,2.0,Rented_shared_in,,Head_,Good,Farmeland,,No,No,No,No,Yes,No,400.0,Yes,5.9,Yes,4.8,Yes,15.5,,,uuid:4868aa22-5c33-4bb1-b952-d1d9a40d3f8c,uuid:4868aa22-5c33-4bb1-b952-d1d9a40d3f8c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
1,March ,Maize,1.0,Owned,,Head_,Medium,Farmeland,,Yes,No,No,No,No,No,200.0,Yes,0.3,Yes,1.0,Yes,65.0,,,uuid:823b19c4-4a86-42bc-bf88-82e824c06546,uuid:823b19c4-4a86-42bc-bf88-82e824c06546/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
2,April ,Maize,1.0,Owned,,Head_,Medium,Farmeland,,Yes,No,No,No,No,No,40.0,Yes,15.0,Yes,0.5,Yes,65.0,,,uuid:823b19c4-4a86-42bc-bf88-82e824c06546,uuid:823b19c4-4a86-42bc-bf88-82e824c06546/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
1,Kawanguzi ,Maize,1.0,Rented_shared_in,,Head_,Low,Farmeland,,Yes,No,No,No,No,No,5.0,No,,No,,Yes,50.0,,,uuid:9340185b-fae5-42a0-81c8-45ef3f519c1b,uuid:9340185b-fae5-42a0-81c8-45ef3f519c1b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
3,Kutale  2,Maize,0.75,Owned,,Head_,Medium,Farmeland,,Yes,No,No,No,Yes,No,150.0,Yes,6.0,No,,Yes,3.5,,,uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b,uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
1,Manga,Tomato,0.5,Owned,,Head_,Good,Farmeland,,No,,Yes,No,Yes,No,60.0,,,,,,,Yes,25.0,uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b,uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
1,Waaka,Maize,0.8,Rented_shared_in,,Head_,Low,Farmeland,,No,No,No,No,No,No,45.0,Yes,25.0,Yes,0.01,Yes,65.0,,,uuid:854617f7-6615-447e-8482-3aacea4981b1,uuid:854617f7-6615-447e-8482-3aacea4981b1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
2,Lushanga ,Maize,1.0,Owned,,Head_,Good,Farmeland,,No,No,No,No,Yes,Yes,800.0,Yes,8.0,No,,No,,,,uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c,uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
1,Ngulu,Tomato,0.25,Rented_shared_in,,Head_,Medium,Farmeland,,No,,Yes,No,Yes,No,750.0,,,,,,,No,,uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c,uuid:3c611499-021b-49f1-bbc1-7c1b21db8a8c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
1,Kibali ,Maize,1.0,Owned,,Head_,Low,Farmeland,,Yes,No,No,No,No,No,45.0,Yes,25.0,Yes,0.2,Yes,58.0,,,uuid:b9551ab0-0467-48a8-aa91-611dc65f5a77,uuid:b9551ab0-0467-48a8-aa91-611dc65f5a77/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
2,Itale ,Maize,1.0,Owned,,Head_,Low,Farmeland,,No,No,No,No,No,No,50.0,Yes,18.0,Yes,0.1,Yes,65.0,,,uuid:b9551ab0-0467-48a8-aa91-611dc65f5a77,uuid:b9551ab0-0467-48a8-aa91-611dc65f5a77/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
4,Waaka,Tomato,0.5,Owned,,Other_household_member,Low,Farmeland,,No,,No,No,No,No,120.0,,,,,,,No,,uuid:b9551ab0-0467-48a8-aa91-611dc65f5a77,uuid:b9551ab0-0467-48a8-aa91-611dc65f5a77/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]
1,Kukubo,Maize,2.0,Owned,,Spouse,Medium,Farmeland,,No,No,No,Yes,Yes,No,400.0,Yes,6.0,Yes,2.0,Yes,8.9,,,uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60,uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
3,Kibali 2,Tomato,0.5,Owned,,Spouse,Good,Farmeland,,No,,Yes,Yes,Yes,No,200.0,,,,,,,Yes,2.0,uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60,uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
1,Kibali ,Maize,0.5,Rented_shared_in,,Spouse,Low,Farmeland,,Yes,No,No,No,No,No,20.0,Yes,5.0,Yes,0.001,Yes,59.0,,,uuid:ddb9a876-1be6-4949-bc16-2883a09c32cb,uuid:ddb9a876-1be6-4949-bc16-2883a09c32cb/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
4,Wagati,Maize,0.5,Rented_shared_in,,Spouse,Low,Farmeland,,Yes,No,No,No,No,No,20.0,No,,No,,Yes,60.0,,,uuid:ddb9a876-1be6-4949-bc16-2883a09c32cb,uuid:ddb9a876-1be6-4949-bc16-2883a09c32cb/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
1,Waaka ,Tomato,0.01,Owned,,Head_,Medium,Farmeland,,Yes,,No,No,Yes,No,30.0,,,,,,,No,,uuid:ddb9a876-1be6-4949-bc16-2883a09c32cb,uuid:ddb9a876-1be6-4949-bc16-2883a09c32cb/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]
3,Manga 3,Maize,0.5,Owned,,Head_and_spouse_jointly,Good,Farmeland,,No,No,No,No,No,No,400.0,Yes,10.0,Yes,5.0,Yes,12.0,,,uuid:e0914409-b489-41f0-b23a-56e2cf00b20f,uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
4,Manga 4,Tomato,0.5,Owned,,Head_and_spouse_jointly,Good,Farmeland,,No,,Yes,No,Yes,No,560.0,,,,,,,Yes,10.0,uuid:e0914409-b489-41f0-b23a-56e2cf00b20f,uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
